year,month,country,debt

1998,Jan,United States,5.307
1998,Apr,United States,5.384
1998,Jul,United States,5.353
1998,Oct,United States,5.526


1999,Jan,United States,5.583
1999,Apr,United States,5.601
1999,Jul,United States,5.620
1999,Oct,United States,5.656


2000,Jan,United States,5.430
2000,Apr,United States,5.320
2000,Jul,United States,5.595
2000,Oct,United States,5.674


2001,Jan,United States,5.682
2001,Apr,United States,5.701
2001,Jul,United States,5.821
2001,Oct,United States,5.807


2002,Jan,United States,5.901
2002,Apr,United States,5.930
2002,Jul,United States,6.109
2002,Oct,United States,6.228


2003,Jan,United States,6.340
2003,Apr,United States,6.524
2003,Jul,United States,6.610
2003,Oct,United States,6.783


2004,Jan,United States,6.882
2004,Apr,United States,7.013
2004,Jul,United States,7.210
2004,Oct,United States,7.379


2005,Jan,United States,7.581
2005,Apr,United States,7.681
2005,Jul,United States,7.630
2005,Oct,United States,7.933


2006,Jan,United States,8.002
2006,Apr,United States,8.279
2006,Jul,United States,8.390
2006,Oct,United States,8.507


2007,Jan,United States,8.720
2007,Apr,United States,8.844
2007,Jul,United States,8.911
2007,Oct,United States,9.008


2008,Jan,United States,9.490
2008,Apr,United States,9.907
2008,Jul,United States,9.811
2008,Oct,United States,10.025


2009,Jan,United States,10.399
2009,Apr,United States,10.829
2009,Jul,United States,11.711
2009,Oct,United States,11.910


2010,Jan,United States,12.613
2010,Apr,United States,13.019
2010,Jul,United States,13.408
2010,Oct,United States,13.562


2011,Jan,United States,13.762
2011,Apr,United States,13.909
2011,Jul,United States,14.287
2011,Oct,United States,14.790


2012,Jan,United States,15.105
2012,Apr,United States,15.819
2012,Jul,United States,15.931
2012,Oct,United States,16.066


2013,Jan,United States,16.178
2013,Apr,United States,16.293
2013,Jul,United States,16.456
2013,Oct,United States,16.738


2014,Jan,United States,17.106
2014,Apr,United States,17.245
2014,Jul,United States,17.702
2014,Oct,United States,17.824


2015,Jan,United States,17.900
2015,Apr,United States,17.917
2015,Jul,United States,18.070
2015,Oct,United States,18.151


2016,Jan,United States,18.433
2016,Apr,United States,18.762
2016,Jul,United States,19.182
2016,Oct,United States,19.573


2017,Jan,United States,19.451
2017,Apr,United States,19.837
2017,Jul,United States,20.101
2017,Oct,United States,20.245


2018,Jan,United States,20.497
2018,Apr,United States,21.229
2018,Jul,United States,21.460
2018,Oct,United States,21.658




2005,Jan,Russia,0.097
2005,Apr,Russia,0.101
2005,Jul,Russia,0.117
2005,Oct,Russia,0.136


2006,Jan,Russia,0.120
2006,Apr,Russia,0.117
2006,Jul,Russia,0.102
2006,Oct,Russia,0.106


2007,Jan,Russia,0.085
2007,Apr,Russia,0.077
2007,Jul,Russia,0.081
2007,Oct,Russia,0.091


2008,Jan,Russia,0.092
2008,Apr,Russia,0.093
2008,Jul,Russia,0.094
2008,Oct,Russia,0.097


2009,Jan,Russia,0.095
2009,Apr,Russia,0.094
2009,Jul,Russia,0.093
2009,Oct,Russia,0.092


2010,Jan,Russia,0.101
2010,Apr,Russia,0.105
2010,Jul,Russia,0.107
2010,Oct,Russia,0.108


2011,Jan,Russia,0.118
2011,Apr,Russia,0.123
2011,Jul,Russia,0.131
2011,Oct,Russia,0.139


2012,Jan,Russia,0.130
2012,Apr,Russia,0.132
2012,Jul,Russia,0.138
2012,Oct,Russia,0.140


2013,Jan,Russia,0.144
2013,Apr,Russia,0.152
2013,Jul,Russia,0.159
2013,Oct,Russia,0.166

2014,Jan,Russia,0.176
2014,Apr,Russia,0.182
2014,Jul,Russia,0.190
2014,Oct,Russia,0.192


2015,Jan,Russia,0.197
2015,Apr,Russia,0.201
2015,Jul,Russia,0.210
2015,Oct,Russia,0.218


2016,Jan,Russia,0.219
2016,Apr,Russia,0.245
2016,Jul,Russia,0.223
2016,Oct,Russia,0.231


2017,Jan,Russia,0.261
2017,Apr,Russia,0.274
2017,Jul,Russia,0.272
2017,Oct,Russia,0.278


2018,Jan,Russia,0.280
2018,Apr,Russia,0.265
2018,Jul,Russia,0.264
2018,Oct,Russia,0.265




2005,Jan,China,0.434
2005,Apr,China,0.451
2005,Jul,China,0.468
2005,Oct,China,0.488


2006,Jan,China,0.490
2006,Apr,China,0.517
2006,Jul,China,0.534
2006,Oct,China,0.541


2007,Jan,China,0.551
2007,Apr,China,0.561
2007,Jul,China,0.583
2007,Oct,China,0.592


2008,Jan,China,0.601
2008,Apr,China,0.620
2008,Jul,China,0.623
2008,Oct,China,0.627


2009,Jan,China,0.647
2009,Apr,China,0.674
2009,Jul,China,0.690
2009,Oct,China,0.707

2010,Jan,China,0.750
2010,Apr,China,0.801
2010,Jul,China,0.817
2010,Oct,China,0.842


2011,Jan,China,0.901
2011,Apr,China,0.920
2011,Jul,China,0.939
2011,Oct,China,0.986


2012,Jan,China,1.01
2012,Apr,China,1.03
2012,Jul,China,1.07
2012,Oct,China,1.14


2013,Jan,China,1.090
2013,Apr,China,1.118
2013,Jul,China,1.282
2013,Oct,China,1.344


2014,Jan,China,1.410
2014,Apr,China,1.452
2014,Jul,China,1.511
2014,Oct,China,1.546

2015,Jan,China,1.590
2015,Apr,China,1.617
2015,Jul,China,1.703
2015,Oct,China,1.749

2016,Jan,China,1.909
2016,Apr,China,1.913
2016,Jul,China,1.982
2016,Oct,China,2.02


2017,Jan,China,2.011
2017,Apr,China,2.101
2017,Jul,China,2.098
2017,Oct,China,2.117


2018,Jan,China,2.130
2018,Apr,China,2.207
2018,Jul,China,2.208
2018,Oct,China,2.291




2005,Jan,Canada,0.711
2005,Apr,Canada,0.732
2005,Jul,Canada,0.744
2005,Oct,Canada,0.782


2006,Jan,Canada,0.801
2006,Apr,Canada,0.826
2006,Jul,Canada,0.836
2006,Oct,Canada,0.846

2007,Jan,Canada,0.850
2007,Apr,Canada,0.855
2007,Jul,Canada,0.871
2007,Oct,Canada,0.882


2008,Jan,Canada,0.903
2008,Apr,Canada,0.941
2008,Jul,Canada,0.984
2008,Oct,Canada,1.024


2009,Jan,Canada,1.12
2009,Apr,Canada,1.17
2009,Jul,Canada,0.87
2009,Oct,Canada,0.945


2010,Jan,Canada,0.947
2010,Apr,Canada,1.121
2010,Jul,Canada,1.193
2010,Oct,Canada,1.227


2011,Jan,Canada,1.239
2011,Apr,Canada,1.264
2011,Jul,Canada,1.327
2011,Oct,Canada,1.385

2012,Jan,Canada,1.395
2012,Apr,Canada,1.405
2012,Jul,Canada,1.435
2012,Oct,Canada,1.474


2013,Jan,Canada,1.484
2013,Apr,Canada,1.513
2013,Jul,Canada,1.527
2013,Oct,Canada,1.541


2014,Jan,Canada,1.566
2014,Apr,Canada,1.578
2014,Jul,Canada,1.593
2014,Oct,Canada,1.607


2015,Jan,Canada,1.618
2015,Apr,Canada,1.633
2015,Jul,Canada,1.655
2015,Oct,Canada,1.673


2016,Jan,Canada,1.701
2016,Apr,Canada,1.704
2016,Jul,Canada,1.711
2016,Oct,Canada,1.718


2017,Jan,Canada,1.721
2017,Apr,Canada,1.731
2017,Jul,Canada,1.727
2017,Oct,Canada,1.722

2018,Jan,Canada,1.725
2018,Apr,Canada,1.740
2018,Jul,Canada,1.732
2018,Oct,Canada,1.734




2005,Jan,Brazil,0.452
2005,Apr,Brazil,0.470
2005,Jul,Brazil,0.480
2005,Oct,Brazil,0.507


2006,Jan,Brazil,0.528
2006,Apr,Brazil,0.558
2006,Jul,Brazil,0.588
2006,Oct,Brazil,0.621


